SIMC_id;powierzchnia_terenow_uprawnych;powierzchnia_terenow_zalesionych;stosunek_powierzchni_upraw;stosunek_powierzchni_lasow;budynekGospodarstwaRolnego;budynekZabytkowy;budynkiBiurowe;budynkiGarazy;budynkiHandlowoUslugowe;budynkiHoteli;budynkiKultuReligijnego;budynkiKulturyFizycznej;budynkiLacznosciDworcowITerminali;budynkiMieszkalneJednorodzinne;budynkiMuzeowIBibliotek;budynkiODwochMieszkaniach;budynkiOTrzechIWiecejMieszkaniach;budynkiPrzemyslowe;budynkiSzkolIInstytucjiBadawczych;budynkiSzpitaliIZakladowOpiekiMedycznej;budynkiZakwaterowaniaTurystycznegoPozostale;budynkiZbiorowegoZamieszkania;ogolnodostepneObiektyKulturalne;pozostaleBudynkiNiemieszkalne;zbiornikSilosIBudynkiMagazynowe
758369;15077351.05;6984661.8100000005;15.880749094672499;7.356840160311256;24;0;0;0;0;0;1;0;0;35;0;0;3;3;3;0;0;0;0;2;2
758375;3956561.69;16161221.41;2.2631327405125763;9.244134722348743;25;0;0;0;0;0;0;0;0;13;0;0;0;1;0;0;0;0;0;0;2
758398;13839273.55;212504.13;34.17535274075034;0.5247676892416269;4;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;1;0
758406;27598853.56;16459069.03;2.990478776057842;1.7834254057285535;31;0;1;4;0;0;0;0;0;24;0;0;1;0;0;0;0;2;0;10;2
758429;352266.16;9141778.44;0.8578958782581652;22.263546528640045;15;0;0;1;0;0;0;0;0;6;0;0;6;0;0;0;0;0;0;0;0
758441;13044116.469999999;389034.69;9.385919246485212;0.27993066397554245;4;0;0;0;0;0;0;0;0;27;0;0;0;0;0;0;0;0;0;1;0
758458;12717646.91;4218848.65;9.20169498943523;3.0524953836676842;4;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0
758464;3605318.8;406382.44;3.2282483518898966;0.363880010324467;14;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0
758470;10185252.48;30437604.67;3.3760614156011917;10.089020661146108;10;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0
758487;56320036.74;28828245.560000002;6.939560526001587;3.552116910818204;70;0;1;0;0;0;0;0;0;25;0;0;0;0;0;0;0;0;0;0;0
758493;54701828.36000001;24303952.94;77.00706267714905;34.214140248402124;7;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0
758501;57962541.43000001;6386959.55;8.903276120024577;0.98106230400115;30;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0
758518;28778945.88;39499154.9;0.6226524830296714;0.8545916510844285;59;0;1;5;1;0;1;0;0;71;0;0;6;0;1;0;0;0;0;0;0
758547;337822.24;170638.01;8.36379364428191;4.224651116844508;4;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0
758576;55247462.080000006;23714721.42;13.122132480157138;5.632615589701675;13;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0
758599;75108862.61;24200660.07;9.033868671747122;2.910782792400676;73;0;0;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;1;0
758613;24630454.39;10282942.09;1.7963940187224594;0.7499746197473796;63;0;2;0;0;0;1;0;0;39;0;0;0;0;0;0;0;0;0;1;0
758620;74941945.96000001;2283619.46;11.475964951340762;0.3496938403380594;128;0;2;0;1;0;1;0;0;70;1;0;6;4;4;1;0;1;0;1;1
758636;26723361.77;491565.82;4.409815290201357;0.08111683282340147;75;0;0;0;0;0;0;0;0;49;0;0;0;2;1;0;0;0;0;0;0
758659;65418687.18000001;721719.7;13.644225377535024;0.15052742069115552;30;0;0;7;0;0;0;0;0;48;0;0;0;0;0;0;0;0;0;1;2
758665;1306979.23;24491051.8;1.2421090891327697;23.275471671574675;24;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0
758671;20752.55;;;;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
758688;21928831.83;9284269.25;36.68139481099059;15.530236563941468;13;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0
758694;65310757.910000004;325953.53;13.484592750430934;0.06729902926057427;32;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0
758702;15604037.33;52992.5;9.363945350071734;0.03180067206130405;17;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0
758719;42141015.66;11336965.639999999;6.197526109269513;1.6672863587500768;66;0;0;0;0;0;0;0;0;27;0;0;0;0;0;0;0;0;0;0;1
758725;9405003.5;5411641.78;1.7134273259033552;0.985906587259885;13;0;0;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;1;0
758731;74805618.44;1360638.29;16.88218362569868;0.3070697888603226;23;0;0;1;0;4;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0
758754;53294115.46;1068700.98;26.724099835693327;0.5358954067913766;6;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0
758760;21937440.49;1453302.93;2.8075390832992917;0.18599274503825103;83;0;1;0;2;0;0;0;0;87;0;0;0;1;0;0;0;0;0;2;1
758783;53524046.0;8570653.07;7.990894437062342;1.279559171200441;45;0;0;0;0;0;0;0;0;27;0;0;0;0;0;0;0;0;0;1;0
758814;66690773.95;8336216.01;5.924021914515745;0.7404911264697805;34;0;0;2;0;0;1;0;0;30;0;0;4;0;0;0;0;0;1;1;6
758820;19309975.23;2051666.1600000001;6.458486630888768;0.6862079473214785;7;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0
758837;16199315.43;9619710.889999999;18.03441529331388;10.709456331135474;19;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0
758843;92483707.77000001;883746.05;14.119002011362646;0.1349168686933992;43;0;0;0;0;0;0;0;0;21;0;0;0;0;0;0;0;0;0;0;0
758850;19741870.11;220375.21;17.615137645200367;0.19663484949045368;13;0;1;1;0;0;1;0;0;19;0;0;0;0;0;0;0;0;0;3;1
758866;44072785.5;1632412.23;23.923063762486425;0.8860865366667748;7;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0
758872;53188402.1;5486366.84;18.106479517501167;1.86767763068328;37;0;0;0;0;0;0;0;0;21;0;0;0;0;0;0;0;0;0;0;0
758903;17136731.0;2358811.17;2.55796617047459;0.3520951093529791;59;0;13;3;2;1;1;0;0;41;0;0;0;46;0;1;0;0;0;2;17
758910;37814965.68;1032552.61;11.894310823142257;0.3247788663492656;28;0;0;0;0;0;0;0;0;35;0;0;0;0;0;0;0;0;0;0;0
758926;18311915.96;15924898.15;7.323566285839872;6.368915598538699;22;0;0;0;0;0;0;0;0;9;0;0;0;1;0;0;0;0;0;0;0
758932;54719573.96;5982116.47;6.95177685090086;0.7599901787601339;35;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0
758955;53288405.230000004;2784361.1999999997;17.108926571384828;0.8939549065768306;13;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0
758978;20320873.52;10612687.69;5.451805087104792;2.84723511906374;15;0;0;0;0;0;0;0;0;4;0;0;1;0;0;0;0;0;0;0;0
758984;24138355.79;4467311.88;3.0011850577333803;0.5554325977764045;38;0;0;0;1;0;1;0;0;38;0;0;0;1;1;0;0;0;0;0;0
758990;16057785.74;5466065.04;2.4409105131158624;0.83088514428709;31;0;2;0;1;0;0;0;0;56;0;0;1;2;0;0;0;0;0;0;0
759009;17710534.08;3541871.58;2.216379465379691;0.4432464545374073;29;0;0;0;0;0;1;0;0;23;0;1;2;0;0;0;0;0;1;0;1
759015;59748148.67;1603968.8699999999;44.68363857691326;1.1995545781937609;13;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0
759021;74799673.32000001;167709.08000000002;32.80084868970825;0.07354310403785298;24;0;0;0;0;0;0;0;0;32;0;0;0;1;0;0;0;0;0;0;0
759038;36065654.39;2758974.02;5.074586869007924;0.38819906558268347;23;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0
759044;6449719.88;15923948.71;5.392596783486506;13.313978931120664;31;0;0;0;1;0;0;0;0;55;0;0;0;3;0;0;0;0;0;0;2
759050;27608534.25;1593786.01;19.161418396410205;1.106150739311893;8;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
759067;64451251.26;8227544.4399999995;11.153911713904524;1.4238560541793588;14;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0
759073;53862492.6;5970970.47;11.036832874716024;1.2234970941031902;4;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
