SIMC_id;liczba_budynkow;powierzchnia_budynkow;gestosc_zabudowy;srednia_liczba_kondygnacji;nna_index;srednia_odleglosci;odchylenie_standardowe;wspolczynnik_zmiennosci;min_odleglosc;max_odleglosc;min_max_rozstep
472638;57;22234.42;0.3442076658104117;1.368421052631579;0.17172085511195645;335.727439981983;290.683153990606;86.58307882316848;6.38405273970945;1157.8686057551047;1157.8686057551047
472644;185;23562.54;0.21885186677952337;1.1684782608695652;0.2557698013967744;1030.6229188457405;799.1985396913234;77.54519379274004;5.52391383677679;3632.9226643860466;3632.9226643860466
472667;149;22450.51;0.32878574832592977;1.3557046979865772;0.29599229874738886;628.6883832173114;590.2771496608416;93.89025873837521;8.199440252880276;3151.1251908447284;3151.1251908447284
472673;332;38249.14;0.2830287152695461;1.1238670694864048;0.3109177008808448;1413.8087228489455;869.1433055003296;61.4753107300775;5.765858677819228;4366.879904988285;4366.879904988285
472680;294;41569.35;0.3111942622738207;1.4143835616438356;0.33374407053042016;1212.998893760994;813.9714110575229;67.10405221671255;5.93989920404958;4509.850331827056;4509.850331827056
472696;164;36676.92;0.4348221085429436;1.0736196319018405;0.2679720105149198;998.2334136946854;688.7228101332194;68.99416516064134;6.599741668425071;3771.488476616674;3771.488476616674
472704;83;12808.28;0.19782960124885082;1.048780487804878;0.17231463089791896;1104.418468332793;775.1887831131492;70.18977003194793;5.453362504325737;3049.1435259988207;3049.1435259988207
472710;93;13700.98;0.21674779309577616;1.075268817204301;0.20992865138190955;938.5623751975971;527.0649177214493;56.15662119531325;5.621184901515802;2398.7080509160883;2398.7080509160883
472727;206;42307.4;0.5518501667930392;1.2621359223300972;0.31715036861668344;1193.9809462785474;703.8538021671563;58.95017038261447;6.961395596547311;3678.174294521841;3678.174294521841
472733;79;14801.65;0.35159785239276686;1.4303797468354431;0.22655392054701462;920.9157458940532;748.8220618706446;81.31276560416123;5.53442483083913;2116.7591461711077;2116.7591461711077
472740;30;7866.09;0.4146364682359207;1.3666666666666667;0.20148387204390475;152.69773972043797;96.85218018121655;63.427382984538895;7.89815132934438;431.1279012384805;431.1279012384805
472756;124;17612.67;0.17067314647471776;1.3495934959349594;0.16179813384320296;904.8344575324849;586.780715144442;64.84951034519767;5.333998979990131;2533.6781696044636;2533.6781696044636
472779;45;6248.13;0.08267254232863859;1.2222222222222223;0.08192187076460512;380.47424649934874;372.96569407450124;98.02652807806787;5.405841208062989;1086.6090115018812;1086.6090115018812
