SIMC_id;nazwa;aktualny_rodzaj;Prawdopodobieństwo wieś;Prawdopodobieństwo osada;Prawdopodobieństwo osada leśna;Prawdopodobieństwo kolonia;Proponowany rodzaj (indeks);Proponowany rodzaj
488616;Sińczyk-Leśniczówka;część wsi;0.009;0.073;0.633;0.285;2;osada leśna
488651;Młynowo;przysiółek wsi;0.988;0.005;0.0;0.007;0;wieś
488705;Pieczarki;przysiółek osady;0.936;0.019;0.004;0.042;0;wieś
488728;Wikrowo;przysiółek osady;0.975;0.025;0.0;0.0;0;wieś
488740;Wilcza Wólka;część wsi;0.994;0.003;0.0;0.003;0;wieś
488792;Mazurkowo;część wsi;0.915;0.084;0.0;0.001;0;wieś
488823;Sówka;część wsi;0.984;0.014;0.001;0.001;0;wieś
489136;Pużary;część wsi;0.976;0.023;0.0;0.001;0;wieś
489290;Lipowiec Mały;część wsi;0.994;0.004;0.0;0.003;0;wieś
489509;Wólka Szczycieńska;część wsi;0.989;0.01;0.0;0.001;0;wieś
489567;Trelkówko;część wsi;0.969;0.017;0.001;0.012;0;wieś
489716;Kłobia;przysiółek wsi;0.937;0.014;0.001;0.048;0;wieś
490079;Spychowski Piec;część wsi;0.988;0.006;0.0;0.006;0;wieś
490085;Spychówko;część wsi;0.984;0.014;0.001;0.002;0;wieś
490949;Murawki;część wsi;0.928;0.046;0.0;0.026;0;wieś
753567;Owczary;część wsi;0.824;0.17;0.004;0.002;0;wieś
753998;Boćwinka;część wsi;0.174;0.815;0.005;0.006;1;osada
754957;Kożuchy Małe;część wsi;0.757;0.038;0.001;0.204;0;wieś
755477;Maryszki;przysiółek wsi;0.851;0.148;0.002;0.0;0;wieś
755490;Piotrówko;przysiółek wsi;0.81;0.098;0.058;0.034;0;wieś
755980;Tuniszki;przysiółek osady;0.993;0.005;0.0;0.002;0;wieś
756152;Judziki;przysiółek wsi;0.994;0.005;0.0;0.001;0;wieś
756330;Brodowo;przysiółek wsi;0.984;0.014;0.001;0.001;0;wieś
756436;Lepaki Małe;część wsi;0.985;0.014;0.0;0.001;0;wieś
756465;Malinówka Mała;część wsi;0.42;0.556;0.001;0.023;1;osada
757915;Wola Bogaczkowska;przysiółek wsi;0.964;0.035;0.0;0.001;0;wieś
758263;Strzelce;przysiółek wsi;0.023;0.917;0.0;0.059;1;osada
760656;Mściszewo;część wsi;0.001;0.998;0.0;0.0;1;osada
761466;Borki;osada wsi;0.938;0.054;0.0;0.008;0;wieś
761472;Knieja Łuczańska;osada wsi;0.773;0.072;0.007;0.148;0;wieś
761489;Jurkówko;osada leśna wsi;0.69;0.174;0.0;0.135;0;wieś
761495;Wolisko;osada wsi;0.563;0.279;0.008;0.15;0;wieś
761532;Budziska Leśne;osada wsi;0.952;0.043;0.002;0.003;0;wieś
761590;Grądy Kruklaneckie;przysiółek wsi;0.016;0.983;0.0;0.0;1;osada
761615;Majerka;przysiółek wsi;0.988;0.011;0.0;0.0;0;wieś
761673;Żywki Małe;przysiółek wsi;0.577;0.319;0.028;0.076;0;wieś
762388;Pszczółki;część wsi;0.997;0.002;0.0;0.001;0;wieś
762610;Konopki Nowe;część wsi;0.586;0.414;0.001;0.0;0;wieś
762709;Przykop;część wsi;0.055;0.824;0.001;0.12;1;osada
763896;Kępa;część wsi;0.063;0.934;0.001;0.001;1;osada
766848;Bartlewo;przysiółek wsi;0.352;0.61;0.0;0.038;1;osada
766854;Gąsior;przysiółek wsi;0.721;0.242;0.001;0.036;0;wieś
766972;Śwignajno Małe;przysiółek wsi;0.989;0.01;0.0;0.001;0;wieś
766989;Śwignajno Wielkie;przysiółek wsi;0.995;0.004;0.0;0.001;0;wieś
767204;Majdan;część wsi;0.896;0.05;0.002;0.052;0;wieś
767606;Grzybowo;przysiółek wsi;0.989;0.011;0.0;0.0;0;wieś
772375;Franciszkowo;przysiółek wsi;0.99;0.009;0.0;0.0;0;wieś
772599;Ernstowo;przysiółek wsi;0.887;0.095;0.003;0.015;0;wieś
843980;Białobłoty;kolonia wsi;0.253;0.711;0.03;0.005;1;osada
845915;Pod Szafarnię;część wsi;0.537;0.459;0.002;0.001;0;wieś
990480;Kiewry;przysiółek wsi;0.496;0.487;0.014;0.003;0;wieś
1045401;Jeleni Róg;przysiółek osady;0.031;0.968;0.0;0.0;1;osada
1045453;Łękuk Wielki;przysiółek osady;0.287;0.458;0.017;0.238;1;osada
1056020;Stare Jegławki;część wsi;0.171;0.466;0.011;0.352;1;osada
1063110;Czerwonka-Stacja;część wsi;0.267;0.723;0.0;0.01;1;osada
1063126;Henrykowo;osada wsi;0.006;0.971;0.018;0.004;1;osada
