SIMC_id;rodzaj;nazwa;czy_samodzielna;liczba_adresow;liczba_mieszkancow;powierzchnia;zageszczenie_ludnosci;liczba_budynkow;powierzchnia_budynkow;gestosc_zabudowy;srednia_liczba_kondygnacji;nna_index;srednia_odleglosci;odchylenie_standardowe;wspolczynnik_zmiennosci;min_odleglosc;max_odleglosc;min_max_rozstep;powierzchnia_terenow_uprawnych;powierzchnia_terenow_zalesionych;stosunek_powierzchni_upraw;stosunek_powierzchni_lasow;budynekGospodarstwaRolnego;budynekZabytkowy;budynkiBiurowe;budynkiGarazy;budynkiHandlowoUslugowe;budynkiHoteli;budynkiKultuReligijnego;budynkiKulturyFizycznej;budynkiLacznosciDworcowITerminali;budynkiMieszkalneJednorodzinne;budynkiMuzeowIBibliotek;budynkiODwochMieszkaniach;budynkiOTrzechIWiecejMieszkaniach;budynkiPrzemyslowe;budynkiSzkolIInstytucjiBadawczych;budynkiSzpitaliIZakladowOpiekiMedycznej;budynkiZakwaterowaniaTurystycznegoPozostale;budynkiZbiorowegoZamieszkania;ogolnodostepneObiektyKulturalne;pozostaleBudynkiNiemieszkalne;zbiornikSilosIBudynkiMagazynowe
473508;osada;Augustowo;True;4;27;558328.04;0.0048358667424261;6.0;597.0600000000001;0.1069371332308511;1.6666666666666667;0.2464221386028723;56.12566185963713;42.64570311128459;75.98253935594713;17.408719220286443;130.44204845955596;130.44204845955596;3953157.16;10865.05;7.080348606528879;0.0194599755369621;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
153689;wieś;Augustyny;True;9;24;11009373.17;0.0002179960623498;26.0;9515.58;0.0864316237906213;1.3076923076923077;0.1113819104333612;236.48285837185165;187.403846385674;79.24627081891722;6.658252446752368;831.6108288646623;831.6108288646623;32234613.32;19089747.11;2.927924489637406;1.73395404218095;19.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
154163;wieś;Awajki;True;18;48;1981076.27;0.0024229253929733;29.0;7836.450000000001;0.3955652853284644;1.6896551724137931;0.226307389688478;183.6713430541836;104.54086276324593;56.9173508642587;7.0909213875511865;425.6614459365072;425.6614459365072;32671290.82;3403.9;16.491687531040892;0.0017182074469046;17.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
840421;wieś;Babalice;True;22;83;3698047.1;0.0022444278765405;94.0;12717.42;0.3438955658515004;1.2872340425531914;0.2430391200590149;954.3761494551884;674.1630595120688;70.63913530288022;6.905619485355681;3002.47982883346;3002.47982883346;40796881.63;190601.45;11.032007036903344;0.0515411093601268;62.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;29.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
479623;wieś;Babiak;True;62;180;10152121.93;0.0017730283505371;166.0;23809.99;0.2345321516444789;1.2545454545454546;0.173755860743837;1063.992854538929;853.3581878059676;80.20337581832374;6.656416817815261;4200.873936853907;4200.873936853907;21953798.3;71794178.52;2.162483710437469;7.071839662193655;102.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;54.0;0.0;1.0;2.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;4.0
478552;wieś;Babieniec;True;26;106;12279973.78;0.0008631940254843;110.0;13482.95;0.1097962442066387;1.1090909090909091;0.1242532215069444;968.695205937418;560.0489138402127;57.81477088020133;7.014241886644595;2547.2453084675803;2547.2453084675803;33490122.69;9149192.23;2.72721451120232;0.7450498180135365;78.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;32.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
485925;wieś;Babięta;True;53;136;8971038.15;0.0015159895401849;132.0;11162.01;0.1244227235841149;1.4015151515151516;0.1530114145925611;558.7650822535309;552.6210076672048;98.90041901660236;6.222727035592146;2283.117046281475;2283.117046281475;3647916.96;91121903.95;0.4066326437370016;10.157342152201192;52.0;0.0;0.0;0.0;2.0;2.0;0.0;0.0;0.0;75.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
473253;przysiółek wsi;Babięty;False;9;10;3107626.97;0.000321788943671;14.0;1138.24;0.0366273047244148;1.7142857142857142;0.1624748386494541;572.0118277150082;605.4080160213167;105.8383737342836;8.022722038998001;1540.3563425129853;1540.3563425129853;1902172.54;39466854.57;0.612098092326699;12.699997442099686;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
157954;wieś;Babięty Wielkie;True;69;235;10102370.32;0.002326186751784;193.0;50677.58;0.5016404902488271;1.310880829015544;0.2810941096232611;1148.2910587225726;694.9567900658427;60.52096154427554;6.001033015533147;4156.97559095273;4156.97559095273;57324521.19;5586101.42;5.674363478491055;0.5529495794606745;115.0;0.0;2.0;0.0;1.0;0.0;0.0;1.0;0.0;57.0;0.0;1.0;2.0;13.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
758990;osada;Babki;True;58;234;6578604.85;0.0035569851866083;93.0;17274.96;0.2625930633301375;1.6236559139784943;0.1451686676814226;436.7989383493947;496.8827683278212;113.75548901411602;3.89707722637396;2340.1830771640803;2340.1830771640803;16057785.74;5466065.04;2.4409105131158624;0.83088514428709;31.0;0.0;2.0;0.0;1.0;0.0;0.0;0.0;0.0;56.0;0.0;0.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
763241;wieś;Babki Gąseckie;True;35;97;5616517.28;0.001727048901735;98.0;12129.37;0.2159589189406001;1.0714285714285714;0.2117165689229314;1018.1791537741628;681.0331672639422;66.8873611033485;5.678529949919906;2949.00824709509;2949.00824709509;42035728.09;1430413.89;7.484304951697752;0.2546798698712452;60.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;34.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0
763258;wieś;Babki Oleckie;True;45;168;7985764.01;0.0021037436091227;130.0;21007.21;0.2630582368035691;1.1538461538461535;0.2021168036196668;904.7912361265322;520.1767754336225;57.491358742656686;5.928193685645583;2439.4636421608857;2439.4636421608857;61508006.32;3993529.47;7.702206857475119;0.5000810774021358;80.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;49.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
